nom_station,annee,mois,jour,temperature,humidite,precipitations,vent,pression,indice_uv,score
Station_Rabat,2025,janvier,1,19,nan,nan,nan,1030,nan,33
Station_Rabat,2025,janvier,2,37,nan,nan,73,nan,nan,5
Station_Rabat,2025,janvier,3,nan,nan,nan,35,990,nan,11
Station_Rabat,2025,janvier,4,4,77,20,nan,992,5,31
Station_Rabat,2025,janvier,5,nan,nan,nan,90,nan,8,2
Station_Rabat,2025,janvier,6,nan,nan,nan,78,nan,8,2
Station_Rabat,2025,janvier,7,nan,98,12,nan,nan,nan,3
Station_Rabat,2025,janvier,8,9,62,7,3,1037,2,61
Station_Rabat,2025,janvier,9,39,nan,nan,42,1031,2,36
Station_Rabat,2025,janvier,10,20,nan,nan,61,1011,nan,40
Station_Rabat,2025,janvier,11,22,38,9,nan,nan,1,56
Station_Rabat,2025,janvier,12,15,1,13,nan,nan,1,33
Station_Rabat,2025,janvier,13,2,23,4,20,1001,1,54
Station_Rabat,2025,janvier,14,4,nan,nan,38,1025,2,43
Station_Rabat,2025,janvier,15,nan,nan,5,71,nan,nan,8
Station_Rabat,2025,janvier,16,37,nan,12,nan,nan,nan,5
Station_Rabat,2025,janvier,17,nan,nan,5,71,1000,nan,16
Station_Rabat,2025,janvier,18,23,32,nan,nan,1036,9,38
Station_Rabat,2025,janvier,19,34,nan,0,5,1040,nan,38
Station_Rabat,2025,janvier,20,34,10,nan,61,nan,2,23
Station_Rabat,2025,janvier,21,nan,66,19,nan,987,0,33
Station_Rabat,2025,janvier,22,1,nan,14,88,nan,10,7
Station_Rabat,2025,janvier,23,nan,nan,nan,nan,993,nan,3
Station_Rabat,2025,janvier,24,nan,nan,nan,nan,999,1,18
Station_Rabat,2025,janvier,25,32,nan,nan,nan,nan,4,30
Station_Rabat,2025,janvier,26,nan,nan,nan,nan,985,3,18
Station_Rabat,2025,janvier,27,nan,nan,nan,nan,nan,nan,0
Station_Rabat,2025,janvier,28,nan,nan,nan,18,nan,nan,15
Station_Rabat,2025,janvier,29,1,16,nan,nan,nan,3,23
Station_Rabat,2025,janvier,30,27,31,nan,nan,981,nan,36
Station_Rabat,2025,janvier,31,nan,13,5,nan,nan,nan,11
Station_Rabat,2025,fevrier,1,nan,91,nan,nan,1025,2,33
Station_Rabat,2025,fevrier,2,nan,nan,6,nan,1036,nan,11
Station_Rabat,2025,fevrier,3,nan,26,6,79,983,nan,14
Station_Rabat,2025,fevrier,4,37,nan,2,nan,986,7,31
Station_Rabat,2025,fevrier,5,27,nan,18,nan,nan,10,27
Station_Rabat,2025,fevrier,6,26,nan,12,nan,1016,nan,40
Station_Rabat,2025,fevrier,7,nan,91,nan,82,nan,7,11
Station_Rabat,2025,fevrier,8,16,18,15,37,nan,6,34
Station_Rabat,2025,fevrier,9,36,nan,nan,nan,1028,nan,13
Station_Rabat,2025,fevrier,10,nan,22,nan,34,1006,nan,19
Station_Rabat,2025,fevrier,11,nan,99,nan,70,nan,2,18
Station_Rabat,2025,fevrier,12,31,25,nan,nan,1003,nan,26
Station_Rabat,2025,fevrier,13,40,71,15,nan,1022,nan,28
Station_Rabat,2025,fevrier,14,15,74,nan,69,nan,nan,23
Station_Rabat,2025,fevrier,15,nan,nan,nan,nan,nan,10,2
Station_Rabat,2025,fevrier,16,nan,nan,nan,nan,1017,nan,15
Station_Rabat,2025,fevrier,17,23,nan,9,29,1022,9,65
